open_time,dt,close_time,symbol,interval,first_trade_id,last_trade_id,open,close,high,low,volume,number_of_trades,is_kline_closed,quote_asset_volume,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore,rsi,stochk_14_3_3,stochd_14_3_3,willr_14,roc_10,cci_14_0.015,sma_20,sma_50,ema_12,ema_26,macd_12_26_9,macdh_12_26_9,macds_12_26_9,atr,bbl_20_2.0,bbm_20_2.0,bbu_20_2.0,bbb_20_2.0,bbp_20_2.0,obv,vwap_d,mfi_14,regime_sma,bb_width,predicted_signal,confidence,stop_loss_price,take_profit_price,profit_pct,exit_price,trade_outcome,year,month,day,hour,minute
2025-01-01 00:00:00,2025-01-01 00:00:00,1735689899999,BNBUSDT,5m,0,0,702.31,702.6,702.79,701.46,396.748,1831,False,278584.68328,149.938,105289.56304,0,,,,,,,,,,,,,,,,,,,,396.748,702.2833333333334,,,,SELL,0.6046946455764284,719.4624,632.34,-0.6931397665812702,707.47,TIMEOUT,2025,1,1,0,0
2025-01-01 00:05:00,2025-01-01 00:05:00,1735690199999,BNBUSDT,5m,0,0,702.59,703.58,703.88,702.59,571.59,2454,False,401886.92494,309.468,217574.81204,0,,,,,,,,,,,,,,,,,,,,968.338,702.9129647223732,,,,SKIP,0.5787821729464315,,,0.0,,NO_TRADE,2025,1,1,0,5
2025-01-01 00:10:00,2025-01-01 00:10:00,1735690499999,BNBUSDT,5m,0,0,703.59,704.01,704.13,703.32,269.668,1780,False,189773.55922,148.083,104209.66812,0,,,,,,,,,,,,,,,,,,,,1238.0059999999999,703.1105392004023,,,,SELL,0.6021291169815889,720.90624,633.609,-0.23721253959460223,705.68,TIMEOUT,2025,1,1,0,10
2025-01-01 00:15:00,2025-01-01 00:15:00,1735690799999,BNBUSDT,5m,0,0,704.01,704.25,704.5,703.99,210.385,1344,False,148171.79096,111.328,78408.40222,0,,,,,,,,,,,,,,,,,,,,1448.3909999999998,703.275566583885,,,,SKIP,0.5968843617368336,,,0.0,,NO_TRADE,2025,1,1,0,15
2025-01-01 00:20:00,2025-01-01 00:20:00,1735691099999,BNBUSDT,5m,0,0,704.25,704.09,704.6,703.91,270.425,1365,False,190461.95802,140.553,99001.31048,0,,,,,,,,,,,,,,,,,,,,1177.966,703.4210096717741,,,,SELL,0.6003808652333371,720.98816,633.681,0.10794074621142052,703.33,TIMEOUT,2025,1,1,0,20
2025-01-01 00:25:00,2025-01-01 00:25:00,1735691399999,BNBUSDT,5m,0,0,704.09,704.63,704.64,703.99,166.492,971,False,117238.33767,104.479,73576.03385,0,,,,,,,,,,,,,,,,,,,,1344.4579999999999,703.5092307463821,,,,SELL,0.6128879616098322,721.54112,634.167,0.5803245496901495,700.5408591255183,TRAILING_STOP,2025,1,1,0,25
2025-01-01 00:30:00,2025-01-01 00:30:00,1735691699999,BNBUSDT,5m,0,0,704.63,705.64,705.79,704.59,690.976,2235,False,487364.85288,376.588,265601.6542,0,,,,,,,,,,,,,,,,,,,,2035.4339999999997,704.0002548787322,,,,SELL,0.6987553245302724,722.5753599999999,635.076,0.7226263922795888,700.5408591255183,TRAILING_STOP,2025,1,1,0,30
2025-01-01 00:35:00,2025-01-01 00:35:00,1735691999999,BNBUSDT,5m,0,0,705.65,706.25,706.25,705.6,390.881,1622,False,275909.48961,253.604,179017.34116,0,,,,,,,,,,,,,,,,,,,,2426.3149999999996,704.2680835095678,,,,SELL,0.7101420211896106,723.2,635.625,0.6342208354675419,701.7708153495105,TRAILING_STOP,2025,1,1,0,35
2025-01-01 00:40:00,2025-01-01 00:40:00,1735692299999,BNBUSDT,5m,0,0,706.25,706.21,706.49,705.9,193.268,1649,False,136485.57899,78.877,55703.25512,0,,,,,,,,,,,,,,,,,,,,2233.0469999999996,704.3862248010531,,,,SELL,0.7041732562717189,723.15904,635.589,0.6367284785625978,701.7133598115431,TRAILING_STOP,2025,1,1,0,40
2025-01-01 00:45:00,2025-01-01 00:45:00,1735692599999,BNBUSDT,5m,0,0,706.21,706.53,706.84,706.11,388.419,1459,False,274400.40312,155.604,109915.3766,0,,,,,,,,,,,,,,,,,,,,2621.4659999999994,704.6168461369103,,,,SELL,0.7117815649456503,723.48672,635.877,0.673599797671647,701.7708153495105,TRAILING_STOP,2025,1,1,0,45
